Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,FEARN_AdaBoost_SVM | SMOTE,10,10,None,0.5,0.875,0.6614378277661477,0.06635071090047394,0.034482758620689655,0.5075,0.6875,"[[196 196]
 [  1   7]]",None,"[0.09378548227848724, 0.06539276199980348, 0.04622844067342358, 0.031052468179179813, 0.019817901926172804, 0.012509523773218841, 0.008661301680187097, 0.005890260177937146, 0.0035511880791664536, 0.0024870579174791833]"
0.2,FEARN_AdaBoost_SVM | SMOTE,10,100,None,0.5204081632653061,0.875,0.6748015581318281,0.06896551724137931,0.035897435897435895,0.5275,0.6977040816326531,"[[204 188]
 [  1   7]]",None,"[0.13385651055109635, 0.0860317329452843, 0.05725818619271734, 0.040636600718846415, 0.026547508271726215, 0.017194150889526295, 0.011003185875326098, 0.0070124216004639585, 0.004607390531176365, 0.003261936060125838]"
0.2,FEARN_AdaBoost_SVM | SMOTE,15,10,None,0.5,0.875,0.6614378277661477,0.06635071090047394,0.034482758620689655,0.5075,0.6875,"[[196 196]
 [  1   7]]",None,"[0.09378548227848724, 0.06539276199980348, 0.04622844067342358, 0.031052468179179813, 0.019817901926172804, 0.012509523773218841, 0.008661301680187097, 0.005890260177937146, 0.0035511880791664536, 0.0024870579174791833, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
0.2,FEARN_AdaBoost_SVM | SMOTE,15,100,None,0.5204081632653061,0.875,0.6748015581318281,0.06896551724137931,0.035897435897435895,0.5275,0.6977040816326531,"[[204 188]
 [  1   7]]",None,"[0.13385651055109635, 0.0860317329452843, 0.05725818619271734, 0.040636600718846415, 0.026547508271726215, 0.017194150889526295, 0.011003185875326098, 0.0070124216004639585, 0.004607390531176365, 0.003261936060125838, 0.0024604964040582738, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
0.2,FEARN_AdaBoost_SVM | SMOTE,20,10,None,0.5,0.875,0.6614378277661477,0.06635071090047394,0.034482758620689655,0.5075,0.6875,"[[196 196]
 [  1   7]]",None,"[0.09378548227848724, 0.06539276199980348, 0.04622844067342358, 0.031052468179179813, 0.019817901926172804, 0.012509523773218841, 0.008661301680187097, 0.005890260177937146, 0.0035511880791664536, 0.0024870579174791833, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
0.2,FEARN_AdaBoost_SVM | SMOTE,20,100,None,0.5204081632653061,0.875,0.6748015581318281,0.06896551724137931,0.035897435897435895,0.5275,0.6977040816326531,"[[204 188]
 [  1   7]]",None,"[0.13385651055109635, 0.0860317329452843, 0.05725818619271734, 0.040636600718846415, 0.026547508271726215, 0.017194150889526295, 0.011003185875326098, 0.0070124216004639585, 0.004607390531176365, 0.003261936060125838, 0.0024604964040582738, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
0.2,FEARN_AdaBoost_SVM | SMOTE,25,10,None,0.5025510204081632,0.875,0.663123022415255,0.06666666666666667,0.034653465346534656,0.51,0.6887755102040816,"[[197 195]
 [  1   7]]",None,"[0.09378548227848724, 0.06539276199980348, 0.04622844067342358, 0.031052468179179813, 0.019817901926172804, 0.012509523773218841, 0.008661301680187097, 0.005890260177937146, 0.0035511880791664536, 0.0024870579174791833, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
0.2,FEARN_AdaBoost_SVM | SMOTE,25,100,None,0.5204081632653061,0.875,0.6748015581318281,0.06896551724137931,0.035897435897435895,0.5275,0.6977040816326531,"[[204 188]
 [  1   7]]",None,"[0.13385651055109635, 0.0860317329452843, 0.05725818619271734, 0.040636600718846415, 0.026547508271726215, 0.017194150889526295, 0.011003185875326098, 0.0070124216004639585, 0.004607390531176365, 0.003261936060125838, 0.0024604964040582738, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686, 0.0020000026666730686]"
