Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,0.7527472527472527,0.5277777777777778,0.630304110952223,0.2620689655172414,0.1743119266055046,0.7325,0.6402625152625152,"[[274  90]
 [ 17  19]]",None,"[0.27553246728913366, 0.27411188458161334, 0.1029978470471139, 0.20499239708164185, 0.07083337710146106, 0.12690202111685933, 0.2402458782876421, 0.1282862853242127, 0.20715173769844977, 0.11499404390540403]"
0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,0.5357142857142857,0.8333333333333334,0.6681531047810609,0.2553191489361702,0.1507537688442211,0.5625,0.6845238095238095,"[[195 169]
 [  6  30]]",None,"[0.30105505106624303, 0.2661699005579251, 0.10391746300224407, 0.2004856566436946, 0.06461964332147459, 0.16816923836758116, 0.19779263259302168, 0.10969280355497821, 0.19457846311185062, 0.15072734153882655]"
0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.25824175824175827,0.8888888888888888,0.4791119175602185,0.1893491124260355,0.10596026490066225,0.315,0.5735653235653235,"[[ 94 270]
 [  4  32]]",None,"[0.27553246728913366, 0.27411188458161334, 0.1029978470471139, 0.20499239708164185, 0.07083337710146106, 0.12690202111685933, 0.2402458782876421, 0.1282862853242127, 0.20715173769844977, 0.11499404390540403, 0.09016337395017895, 0.24294077196865616, 0.14182676301177755, 0.0678157669747107, 0.09885321655255179]"
0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.5274725274725275,0.8333333333333334,0.6629935441317959,0.25210084033613445,0.1485148514851485,0.555,0.6804029304029304,"[[192 172]
 [  6  30]]",None,"[0.30105505106624303, 0.2661699005579251, 0.10391746300224407, 0.2004856566436946, 0.06461964332147459, 0.16816923836758116, 0.19779263259302168, 0.10969280355497821, 0.19457846311185062, 0.15072734153882655, 0.08459038807965419, 0.25903322111642285, 0.13685966850435477, 0.06522583276372454, 0.0882399512538279]"
0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.6565934065934066,0.5555555555555556,0.6039653258044826,0.22099447513812154,0.13793103448275862,0.6475,0.606074481074481,"[[239 125]
 [ 16  20]]",None,"[0.27553246728913366, 0.27411188458161334, 0.1029978470471139, 0.20499239708164185, 0.07083337710146106, 0.12690202111685933, 0.2402458782876421, 0.1282862853242127, 0.20715173769844977, 0.11499404390540403, 0.09016337395017895, 0.24294077196865616, 0.14182676301177755, 0.0678157669747107, 0.09885321655255179, 0.25470615427810006, 0.12970989540638048, 0.06187503764359332, 0.14924095220936998, 0.20318591888660542]"
0.2,FEARN_AdaBoost_SVM | ORIG,20,100,None,0.46153846153846156,0.8611111111111112,0.6304251719561152,0.23574144486692014,0.13656387665198239,0.4975,0.6613247863247864,"[[168 196]
 [  5  31]]",None,"[0.30105505106624303, 0.2661699005579251, 0.10391746300224407, 0.2004856566436946, 0.06461964332147459, 0.16816923836758116, 0.19779263259302168, 0.10969280355497821, 0.19457846311185062, 0.15072734153882655, 0.08459038807965419, 0.25903322111642285, 0.13685966850435477, 0.06522583276372454, 0.0882399512538279, 0.23650320784770254, 0.1412278913748952, 0.08529951605763697, 0.23402157263370474, 0.14476701638081485]"
0.2,FEARN_AdaBoost_SVM | ORIG,25,10,None,0.7362637362637363,0.5277777777777778,0.6233647716896092,0.25165562913907286,0.16521739130434782,0.7175,0.632020757020757,"[[268  96]
 [ 17  19]]",None,"[0.27553246728913366, 0.27411188458161334, 0.1029978470471139, 0.20499239708164185, 0.07083337710146106, 0.12690202111685933, 0.2402458782876421, 0.1282862853242127, 0.20715173769844977, 0.11499404390540403, 0.09016337395017895, 0.24294077196865616, 0.14182676301177755, 0.0678157669747107, 0.09885321655255179, 0.25470615427810006, 0.12970989540638048, 0.06187503764359332, 0.14924095220936998, 0.20318591888660542, 0.1061807731755413, 0.19122027807072225, 0.13156520814325504, 0.09424801337160316, 0.25523105470669133]"
0.2,FEARN_AdaBoost_SVM | ORIG,25,100,None,0.6538461538461539,0.5277777777777778,0.587439758686344,0.20994475138121546,0.1310344827586207,0.6425,0.5908119658119658,"[[238 126]
 [ 17  19]]",None,"[0.30105505106624303, 0.2661699005579251, 0.10391746300224407, 0.2004856566436946, 0.06461964332147459, 0.16816923836758116, 0.19779263259302168, 0.10969280355497821, 0.19457846311185062, 0.15072734153882655, 0.08459038807965419, 0.25903322111642285, 0.13685966850435477, 0.06522583276372454, 0.0882399512538279, 0.23650320784770254, 0.1412278913748952, 0.08529951605763697, 0.23402157263370474, 0.14476701638081485, 0.08474173441681039, 0.23332305370929843, 0.14654725658522771, 0.08520300659408717, 0.23281892945178323]"
