Dataset,Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
kc2,0.2,Decision Tree | ORIG,N/A,N/A,None,0.9156626506024096,0.3181818181818182,0.5397658816652434,0.3888888888888889,0.5,0.7904761904761904,0.6169222343921139,"[[76  7]
 [15  7]]",None,None
kc2,0.2,SVM (lib) | ORIG,N/A,10,None,0.9397590361445783,0.36363636363636365,0.584577247759463,0.45714285714285713,0.6153846153846154,0.819047619047619,0.6516976998904711,"[[78  5]
 [14  8]]",None,None
kc2,0.2,SVM (lib) | ORIG,N/A,100,None,0.9397590361445783,0.3181818181818182,0.5468219443047937,0.4117647058823529,0.5833333333333334,0.8095238095238095,0.6289704271631983,"[[78  5]
 [15  7]]",None,None
kc2,0.2,WSVM | ORIG,N/A,10,None,0.9036144578313253,0.45454545454545453,0.6408852038148363,0.5,0.5555555555555556,0.8095238095238095,0.67907995618839,"[[75  8]
 [12 10]]",None,None
kc2,0.2,WSVM | ORIG,N/A,100,None,0.927710843373494,0.45454545454545453,0.6493741194318972,0.5263157894736842,0.625,0.8285714285714286,0.6911281489594743,"[[77  6]
 [12 10]]",None,None
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,10,10,None,0.9397590361445783,0.4090909090909091,0.6200378040271272,0.5,0.6428571428571429,0.8285714285714286,0.6744249726177437,"[[78  5]
 [13  9]]",None,"[0.47952401650340565, 0.3638223805627833, 0.29575514573901407, 0.21590241685423006, 0.23122039509270337, 0.14037525826922492, 0.2146777094916653, 0.09370335715637144, 0.0926396293289603, 0.2725554566398776]"
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,10,100,None,0.927710843373494,0.45454545454545453,0.6493741194318972,0.5263157894736842,0.625,0.8285714285714286,0.6911281489594743,"[[77  6]
 [12 10]]",None,"[0.49527594652326706, 0.3895279122916236, 0.2999301097019985, 0.22198807843196985, 0.24543696868096976, 0.18880706534712288, 0.15704933203362206, 0.23945258732888308, 0.13191469877343645, 0.08196375719552952]"
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,15,10,None,0.8795180722891566,0.45454545454545453,0.6322823277220522,0.47619047619047616,0.5,0.7904761904761904,0.6670317634173056,"[[73 10]
 [12 10]]",None,"[0.47952401650340565, 0.3638223805627833, 0.29575514573901407, 0.21590241685423006, 0.23122039509270337, 0.14037525826922492, 0.2146777094916653, 0.09370335715637144, 0.0926396293289603, 0.2725554566398776, 0.14155459274247367, 0.07308408798080926, 0.20627789230726937, 0.12373903728780514, 0.06895289959529581]"
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,15,100,None,0.927710843373494,0.36363636363636365,0.5808178695515157,0.4444444444444444,0.5714285714285714,0.8095238095238095,0.6456736035049289,"[[77  6]
 [14  8]]",None,"[0.49527594652326706, 0.3895279122916236, 0.2999301097019985, 0.22198807843196985, 0.24543696868096976, 0.18880706534712288, 0.15704933203362206, 0.23945258732888308, 0.13191469877343645, 0.08196375719552952, 0.21905894886063115, 0.1559509425832491, 0.22270835081228268, 0.14560924169970565, 0.06877344848311796]"
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,20,10,None,0.9397590361445783,0.4090909090909091,0.6200378040271272,0.5,0.6428571428571429,0.8285714285714286,0.6744249726177437,"[[78  5]
 [13  9]]",None,"[0.47952401650340565, 0.3638223805627833, 0.29575514573901407, 0.21590241685423006, 0.23122039509270337, 0.14037525826922492, 0.2146777094916653, 0.09370335715637144, 0.0926396293289603, 0.2725554566398776, 0.14155459274247367, 0.07308408798080926, 0.20627789230726937, 0.12373903728780514, 0.06895289959529581, 0.2523539674900868, 0.15508518998838072, 0.07525624869283781, 0.12723859638087237, 0.2591312745179632]"
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,20,100,None,0.9156626506024096,0.4090909090909091,0.612036981035894,0.47368421052631576,0.5625,0.8095238095238095,0.6623767798466594,"[[76  7]
 [13  9]]",None,"[0.49527594652326706, 0.3895279122916236, 0.2999301097019985, 0.22198807843196985, 0.24543696868096976, 0.18880706534712288, 0.15704933203362206, 0.23945258732888308, 0.13191469877343645, 0.08196375719552952, 0.21905894886063115, 0.1559509425832491, 0.22270835081228268, 0.14560924169970565, 0.06877344848311796, 0.24454769796901998, 0.16149617161495256, 0.07616594993793821, 0.11919287758749324, 0.21529639184369398]"
kc2,0.2,FEARN_AdaBoost_SVM | ORIG,25,10,None,0.9397590361445783,0.4090909090909091,0.6200378040271272,0.5,0.6428571428571429,0.8285714285714286,0.6744249726177437,"[[78  5]
 [13  9]]",None,"[0.47952401650340565, 0.3638223805627833, 0.29575514573901407, 0.21590241685423006, 0.23122039509270337, 0.14037525826922492, 0.2146777094916653, 0.09370335715637144, 0.0926396293289603, 0.2725554566398776, 0.14155459274247367, 0.07308408798080926, 0.20627789230726937, 0.12373903728780514, 0.06895289959529581, 0.2523539674900868, 0.15508518998838072, 0.07525624869283781, 0.12723859638087237, 0.2591312745179632, 0.13509603705939574, 0.08379950916643557, 0.19210925950992172, 0.15163719031870312, 0.2517167319832472]"
