Test Size,Method,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan,List of err_w,List of alpha
0.2,Decision Tree | ORIG,None,none,none,0.85,0.35,0.5454356057317857,0.358974358974359,0.3684210526315789,0.75,0.6,"[[68 12]
 [13  7]]",None,None
0.2,SVM (lib) | ORIG,None,none,none,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
0.2,ImADA_12_DecisionTree | ORIG,10,10,0.3,0.775,0.3,0.4821825380496477,0.2727272727272727,0.25,0.68,0.5375000000000001,"[[62 18]
 [14  6]]",None,"[np.float64(3.69247301562038), np.float64(1.6623393244625555), np.float64(-0.106248723033735), np.float64(0.01937890958322987), np.float64(-0.0032872533026758726), np.float64(0.0005650900498748745), np.float64(-9.692203316475968e-05), np.float64(1.663013605074597e-05), np.float64(-2.8532524625109514e-06), np.float64(4.895415469014677e-07)]"
0.2,EANR-AdaBoost1_DecisionTree | ORIG,10,10,0.3,0.8625,0.25,0.46435439052516775,0.2777777777777778,0.3125,0.74,0.55625,"[[69 11]
 [15  5]]",None,"[np.float64(2.6066264115134232), np.float64(2.0638247138296895), np.float64(-0.1091687965651962), np.float64(0.019944352704579043), np.float64(-0.003382042509118545), np.float64(0.0005814168869716115), np.float64(-9.972139443332441e-05), np.float64(1.711048583870854e-05), np.float64(-2.9356658273301657e-06), np.float64(5.036814925049487e-07)]"
0.2,WSVM | ORIG,10,10,0.3,1.0,0.0,0.0,0.0,0.0,0.8,0.5,"[[80  0]
 [20  0]]",None,None
0.2,ADA_DSTree | ORIG,None,none,none,0.9125,0.1,0.3020761493398643,0.13793103448275862,0.2222222222222222,0.75,0.5062500000000001,"[[73  7]
 [18  2]]",None,None
0.2,ADA_SVM | ORIG,None,none,none,1.0,0.1,0.31622776601683794,0.18181818181818182,1.0,0.82,0.55,"[[80  0]
 [18  2]]",None,None
0.2,ImADA_12_WSVM | ORIG,10,10,0.3,0.0,1.0,0.0,0.3333333333333333,0.2,0.2,0.5,"[[ 0 80]
 [ 0 20]]",None,"[np.float64(1.3237100670391222), np.float64(-0.18642702583495352), np.float64(0.20671619720836326), np.float64(-0.10283440106662635), np.float64(0.004941804975492665), np.float64(-0.07052822591578305), np.float64(0.16172448680136622), np.float64(-0.09193786169919875), np.float64(-0.008623420636941569), np.float64(0.05782358266536722)]"
0.2,EANR-AdaBoost1_WSVM | ORIG,10,10,0.3,0.6625,0.6,0.6304760106459245,0.4067796610169492,0.3076923076923077,0.65,0.6312500000000001,"[[53 27]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.17863965806296922), np.float64(-0.10380514965129657), np.float64(0.045110870036049404), np.float64(-0.009135781027913927), np.float64(0.0010107087833385658), np.float64(-0.00011121590174425683), np.float64(1.2245231493815747e-05), np.float64(-1.3481511565076467e-06), np.float64(1.4842713986394183e-07)]"
0.2,EANR-AdaBoost1_SVM | ORIG,10,10,0.3,0.125,0.6,0.27386127875258304,0.23529411764705882,0.14634146341463414,0.22,0.36250000000000004,"[[10 70]
 [ 8 12]]",None,"[np.float64(-0.08188635391738762), np.float64(0.049558887699344634), np.float64(-0.04191665924687933), np.float64(0.02744319891190758), np.float64(-0.024368901499600998), np.float64(0.023568897079559784), np.float64(-0.022602492007038857), np.float64(-0.0003088631478922649), np.float64(4.116872221272007e-05), np.float64(-5.486353668748356e-06)]"
